ds,y
2022-07-01,6525.0
2022-07-04,6500.0
2022-07-05,6325.0
2022-07-06,6075.0
2022-07-07,5950.0
2022-07-08,5975.0
2022-07-11,6050.0
2022-07-12,6100.0
2022-07-13,5825.0
2022-07-14,6100.0
2022-07-15,5950.0
2022-07-18,6025.0
2022-07-19,6075.0
2022-07-20,6275.0
2022-07-21,6175.0
2022-07-22,6075.0
2022-07-25,6075.0
2022-07-26,6100.0
2022-07-27,6100.0
2022-07-28,6050.0
2022-07-29,6325.0
2022-08-01,6475.0
2022-08-02,6475.0
2022-08-03,6600.0
2022-08-04,6600.0
2022-08-05,6625.0
2022-08-08,6700.0
2022-08-09,6750.0
2022-08-10,6850.0
2022-08-11,6950.0
2022-08-12,6950.0
2022-08-15,6875.0
2022-08-16,6975.0
2022-08-18,6975.0
2022-08-19,6975.0
2022-08-22,6925.0
2022-08-23,6975.0
2022-08-24,7050.0
2022-08-25,6975.0
2022-08-26,6875.0
2022-08-29,6825.0
2022-08-30,6900.0
2022-08-31,6975.0
2022-09-01,6925.0
2022-09-02,6925.0
2022-09-05,6875.0
2022-09-06,6900.0
2022-09-07,6650.0
2022-09-08,6650.0
2022-09-09,6775.0
2022-09-12,6975.0
2022-09-13,7200.0
2022-09-14,7150.0
2022-09-15,7050.0
2022-09-16,6900.0
2022-09-19,7125.0
2022-09-20,7175.0
2022-09-21,7150.0
2022-09-22,7175.0
2022-09-23,7150.0
2022-09-26,6975.0
2022-09-27,6950.0
2022-09-28,6800.0
2022-09-29,6775.0
2022-09-30,6625.0
2022-10-03,6625.0
2022-10-04,6725.0
2022-10-05,6675.0
2022-10-06,6600.0
2022-10-07,6475.0
2022-10-10,6500.0
2022-10-11,6525.0
2022-10-12,6350.0
2022-10-13,6350.0
2022-10-14,6350.0
2022-10-17,6425.0
2022-10-18,6350.0
2022-10-19,6525.0
2022-10-20,6425.0
2022-10-21,6575.0
2022-10-24,6650.0
2022-10-25,6700.0
2022-10-26,6575.0
2022-10-27,6650.0
2022-10-28,6550.0
2022-10-31,6650.0
2022-11-01,6575.0
2022-11-02,6425.0
2022-11-03,6375.0
2022-11-04,6425.0
2022-11-07,6500.0
2022-11-08,6525.0
2022-11-09,6550.0
2022-11-10,6525.0
2022-11-11,6450.0
2022-11-14,6300.0
2022-11-15,6225.0
2022-11-16,6175.0
2022-11-17,6300.0
2022-11-18,6225.0
2022-11-21,6325.0
2022-11-22,6225.0
2022-11-23,6200.0
2022-11-24,6200.0
2022-11-25,6175.0
2022-11-28,6225.0
2022-11-29,6050.0
2022-11-30,6050.0
2022-12-01,6175.0
2022-12-02,6125.0
2022-12-05,6025.0
2022-12-06,5875.0
2022-12-07,5725.0
2022-12-08,5675.0
2022-12-09,5675.0
2022-12-12,5675.0
2022-12-13,5825.0
2022-12-14,5825.0
2022-12-15,5800.0
2022-12-16,5775.0
2022-12-19,5700.0
2022-12-20,5700.0
2022-12-21,5700.0
2022-12-22,5775.0
2022-12-23,5675.0
2022-12-26,5650.0
2022-12-27,5675.0
2022-12-28,5625.0
2022-12-29,5650.0
2022-12-30,5700.0
2023-01-02,5700.0
2023-01-03,5650.0
2023-01-04,5675.0
2023-01-05,5375.0
2023-01-06,5450.0
2023-01-09,5350.0
2023-01-10,5325.0
2023-01-11,5225.0
2023-01-12,5350.0
