"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/01/2025","4.800","4.790","4.840","4.790","27,06M","0,42%"
"30/01/2025","4.780","4.870","4.870","4.780","28,15M","-1,85%"
"24/01/2025","4.870","4.900","4.960","4.870","19,66M","-0,61%"
"23/01/2025","4.900","4.960","4.980","4.900","17,05M","-1,21%"
"22/01/2025","4.960","4.920","4.980","4.880","33,12M","1,02%"
"21/01/2025","4.910","4.930","4.970","4.900","21,76M","0,00%"
"20/01/2025","4.910","4.940","4.960","4.900","11,87M","-0,61%"
"17/01/2025","4.940","4.860","4.970","4.840","23,69M","1,23%"
"16/01/2025","4.880","5.025","5.025","4.880","30,52M","-1,21%"
"15/01/2025","4.940","4.790","4.940","4.780","27,50M","4,00%"
"14/01/2025","4.750","4.770","4.850","4.750","28,10M","0,00%"
"13/01/2025","4.750","4.910","4.920","4.720","46,25M","-3,06%"
"10/01/2025","4.900","4.940","4.960","4.860","31,95M","-0,61%"
"09/01/2025","4.930","4.830","4.950","4.830","23,80M","2,49%"
"08/01/2025","4.810","4.880","4.910","4.810","23,74M","-2,24%"
"07/01/2025","4.920","4.860","4.920","4.850","20,45M","1,23%"
"06/01/2025","4.860","4.950","5.000","4.860","18,41M","-1,82%"
"03/01/2025","4.950","4.950","4.970","4.920","12,71M","0,00%"
"02/01/2025","4.950","4.910","4.970","4.900","17,92M","1,02%"
"30/12/2024","4.900","4.930","4.940","4.880","23,93M","-0,61%"
"27/12/2024","4.930","4.890","4.940","4.880","14,46M","1,02%"
"24/12/2024","4.880","4.940","4.980","4.880","22,60M","-1,41%"
"23/12/2024","4.950","4.900","4.950","4.870","29,68M","1,64%"
"20/12/2024","4.870","4.880","4.900","4.850","44,85M","-0,20%"
"19/12/2024","4.880","4.950","4.950","4.860","39,15M","-2,40%"
"18/12/2024","5.000","4.980","5.050","4.960","27,41M","0,40%"
"17/12/2024","4.980","5.100","5.150","4.950","48,68M","-2,83%"
"16/12/2024","5.125","5.075","5.150","5.000","35,94M","0,00%"
"13/12/2024","5.125","5.100","5.150","5.050","27,73M","0,49%"
"12/12/2024","5.100","5.150","5.225","5.050","37,25M","-2,86%"
"11/12/2024","5.250","5.175","5.250","5.175","41,09M","0,48%"
