Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
2022-07-01,6.525,6.675,6.675,6.5
2022-07-04,6.5,6.5,6.575,6.3
2022-07-05,6.325,6.5,6.525,6.325
2022-07-06,6.075,6.3,6.4,6.05
2022-07-07,5.95,6.025,6.125,5.9
2022-07-08,5.975,6.025,6.075,5.95
2022-07-11,6.05,5.975,6.075,5.925
2022-07-12,6.1,6.05,6.15,6.05
2022-07-13,5.825,6.1,6.1,5.825
2022-07-14,6.1,5.825,6.1,5.825
2022-07-15,5.95,6.0,6.075,5.925
2022-07-18,6.025,5.975,6.025,5.95
2022-07-19,6.075,6.025,6.15,6.025
2022-07-20,6.275,6.175,6.275,6.1
2022-07-21,6.175,6.2,6.25,6.05
2022-07-22,6.075,6.175,6.175,6.05
2022-07-25,6.075,6.05,6.15,6.05
2022-07-26,6.1,6.1,6.125,6.075
2022-07-27,6.1,6.125,6.125,6.0
2022-07-28,6.05,6.125,6.15,6.025
2022-07-29,6.325,6.15,6.425,6.125
2022-08-01,6.475,6.425,6.55,6.35
2022-08-02,6.475,6.475,6.475,6.275
2022-08-03,6.6,6.45,6.6,6.375
2022-08-04,6.6,6.7,6.7,6.45
2022-08-05,6.625,6.6,6.65,6.475
2022-08-08,6.7,6.625,6.7,6.525
2022-08-09,6.75,6.725,6.825,6.7
2022-08-10,6.85,6.775,6.85,6.6
2022-08-11,6.95,6.975,7.0,6.9
2022-08-12,6.95,6.95,7.0,6.85
2022-08-15,6.875,6.925,6.95,6.8
2022-08-16,6.975,6.875,7.05,6.875
2022-08-18,6.975,6.975,7.0,6.85
2022-08-19,6.975,6.975,7.0,6.9
2022-08-22,6.925,6.875,6.925,6.8
2022-08-23,6.975,6.9,7.025,6.85
2022-08-24,7.05,6.925,7.05,6.9
2022-08-25,6.975,7.05,7.05,6.95
2022-08-26,6.875,6.975,7.025,6.85
2022-08-29,6.825,6.8,6.9,6.75
2022-08-30,6.9,6.85,7.025,6.85
2022-08-31,6.975,6.875,6.975,6.775
2022-09-01,6.925,6.975,7.025,6.9
2022-09-02,6.925,6.95,7.0,6.875
2022-09-05,6.875,6.9,6.925,6.85
2022-09-06,6.9,6.875,6.95,6.85
2022-09-07,6.65,6.8,6.875,6.625
2022-09-08,6.65,6.65,6.75,6.625
2022-09-09,6.775,6.675,6.775,6.625
2022-09-12,6.975,6.775,6.975,6.725
2022-09-13,7.2,7.025,7.225,6.95
2022-09-14,7.15,7.1,7.3,7.05
2022-09-15,7.05,7.125,7.225,7.05
2022-09-16,6.9,7.0,7.05,6.9
2022-09-19,7.125,6.95,7.225,6.925
2022-09-20,7.175,7.15,7.25,7.1
2022-09-21,7.15,7.125,7.2,7.1
2022-09-22,7.175,7.025,7.225,7.0
2022-09-23,7.15,7.1,7.175,7.05
2022-09-26,6.975,7.0,7.025,6.85
2022-09-27,6.95,7.0,7.05,6.95
2022-09-28,6.8,6.95,7.0,6.8
2022-09-29,6.775,6.85,6.9,6.7
2022-09-30,6.625,6.7,6.75,6.6
2022-10-03,6.625,6.65,6.7,6.6
2022-10-04,6.725,6.725,6.8,6.7
2022-10-05,6.675,6.8,6.825,6.675
2022-10-06,6.6,6.675,6.75,6.6
2022-10-07,6.475,6.55,6.575,6.45
2022-10-10,6.5,6.425,6.525,6.375
2022-10-11,6.525,6.4,6.575,6.4
2022-10-12,6.35,6.45,6.475,6.35
2022-10-13,6.35,6.375,6.4,6.275
2022-10-14,6.35,6.5,6.5,6.35
2022-10-17,6.425,6.325,6.525,6.2
2022-10-18,6.35,6.45,6.5,6.35
2022-10-19,6.525,6.425,6.525,6.4
2022-10-20,6.425,6.5,6.525,6.4
2022-10-21,6.575,6.475,6.675,6.45
2022-10-24,6.65,6.575,6.7,6.575
2022-10-25,6.7,6.7,6.7,6.6
2022-10-26,6.575,6.7,6.7,6.575
2022-10-27,6.65,6.575,6.675,6.525
2022-10-28,6.55,6.65,6.65,6.5
2022-10-31,6.65,6.55,6.65,6.55
2022-11-01,6.575,6.65,6.675,6.475
2022-11-02,6.425,6.525,6.55,6.375
2022-11-03,6.375,6.375,6.425,6.35
2022-11-04,6.425,6.35,6.425,6.35
2022-11-07,6.5,6.425,6.5,6.425
2022-11-08,6.525,6.5,6.525,6.45
2022-11-09,6.55,6.525,6.55,6.475
2022-11-10,6.525,6.55,6.55,6.45
2022-11-11,6.45,6.6,6.625,6.45
2022-11-14,6.3,6.45,6.475,6.3
2022-11-15,6.225,6.3,6.35,6.2
2022-11-16,6.175,6.175,6.2,6.1
2022-11-17,6.3,6.2,6.3,6.05
2022-11-18,6.225,6.275,6.3,6.2
2022-11-21,6.325,6.275,6.35,6.25
2022-11-22,6.225,6.325,6.35,6.225
2022-11-23,6.2,6.275,6.3,6.2
2022-11-24,6.2,6.2,6.275,6.2
2022-11-25,6.175,6.175,6.2,6.125
2022-11-28,6.225,6.175,6.275,6.15
2022-11-29,6.05,6.125,6.15,6.025
2022-11-30,6.05,6.05,6.2,6.025
2022-12-01,6.175,6.1,6.2,6.1
2022-12-02,6.125,6.175,6.175,6.05
2022-12-05,6.025,6.075,6.1,6.0
2022-12-06,5.875,6.0,6.025,5.8
2022-12-07,5.725,5.8,5.9,5.7
2022-12-08,5.675,5.65,5.8,5.55
2022-12-09,5.675,5.7,5.75,5.65
2022-12-12,5.675,5.675,5.725,5.625
2022-12-13,5.825,5.7,5.9,5.675
2022-12-14,5.825,5.925,5.95,5.775
2022-12-15,5.8,5.825,5.85,5.75
2022-12-16,5.775,5.775,5.8,5.7
2022-12-19,5.7,5.85,5.85,5.65
2022-12-20,5.7,5.675,5.75,5.675
2022-12-21,5.7,5.7,5.725,5.65
2022-12-22,5.775,5.7,5.775,5.675
2022-12-23,5.675,5.75,5.775,5.65
2022-12-26,5.65,5.675,5.725,5.625
2022-12-27,5.675,5.7,5.75,5.65
2022-12-28,5.625,5.725,5.725,5.575
2022-12-29,5.65,5.6,5.675,5.55
2022-12-30,5.7,5.675,5.75,5.65
2023-01-02,5.7,5.725,5.725,5.625
2023-01-03,5.65,5.675,5.7,5.625
2023-01-04,5.675,5.65,5.7,5.625
2023-01-05,5.375,5.65,5.7,5.375
2023-01-06,5.45,5.4,5.525,5.35
2023-01-09,5.35,5.5,5.5,5.275
2023-01-10,5.325,5.375,5.375,5.275
2023-01-11,5.225,5.325,5.35,5.2
2023-01-12,5.35,5.2,5.375,5.2
2023-01-13,5.45,5.375,5.5,5.3
2023-01-16,5.6,5.525,5.6,5.475
2023-01-17,5.55,5.6,5.65,5.5
2023-01-18,5.65,5.55,5.65,5.55
2023-01-19,5.85,5.65,5.875,5.65
2023-01-20,5.9,5.875,5.9,5.775
2023-01-24,5.925,5.9,5.95,5.85
2023-01-25,5.95,5.9,5.95,5.85
2023-01-26,5.9,5.925,5.95,5.85
2023-01-27,5.875,5.925,5.95,5.875
2023-01-30,5.875,5.875,5.9,5.775
2023-01-31,6.0,5.925,6.025,5.9
2023-02-01,6.0,6.0,6.0,5.925
2023-02-02,5.925,5.95,5.975,5.875
2023-02-03,5.875,5.975,5.975,5.875
2023-02-06,5.85,5.875,5.9,5.825
2023-02-07,5.875,5.825,5.925,5.825
2023-02-08,5.8,5.875,5.9,5.775
2023-02-09,5.675,5.825,5.85,5.675
2023-02-10,5.7,5.6,5.7,5.55
2023-02-13,5.725,5.7,5.75,5.675
2023-02-14,5.725,5.75,5.8,5.7
2023-02-15,5.675,5.725,5.725,5.575
2023-02-16,5.7,5.7,5.7,5.625
2023-02-17,5.675,5.7,5.725,5.625
2023-02-20,5.6,5.675,5.7,5.575
2023-02-21,5.575,5.6,5.65,5.55
2023-02-22,5.625,5.55,5.65,5.55
2023-02-23,5.65,5.65,5.7,5.575
2023-02-24,5.75,5.675,5.8,5.65
2023-02-27,5.8,5.725,5.8,5.7
2023-02-28,6.1,6.2,6.275,6.1
2023-03-01,6.15,6.1,6.175,6.05
2023-03-02,6.15,6.15,6.175,6.075
2023-03-03,6.05,6.15,6.15,6.025
2023-03-06,6.075,6.1,6.125,6.05
2023-03-07,5.95,6.05,6.075,5.9
2023-03-08,5.925,5.9,5.975,5.875
2023-03-09,6.025,5.975,6.05,5.95
2023-03-10,5.975,5.975,6.0,5.9
2023-03-13,5.925,5.9,5.975,5.85
2023-03-14,5.775,5.9,5.925,5.75
2023-03-15,5.775,5.85,5.875,5.775
2023-03-16,5.85,5.775,5.875,5.675
2023-03-17,5.85,5.875,5.925,5.85
2023-03-20,5.875,5.85,5.9,5.8
2023-03-21,5.875,5.85,5.975,5.85
2023-03-24,5.95,5.925,6.0,5.9
2023-03-27,5.875,5.95,5.975,5.875
2023-03-28,5.85,5.9,5.925,5.85
2023-03-29,5.95,5.85,6.05,5.85
2023-03-30,5.9,5.975,5.975,5.9
2023-03-31,6.0,5.95,6.025,5.925
2023-04-03,6.0,6.05,6.1,5.975
2023-04-04,6.025,6.025,6.05,5.95
2023-04-05,6.0,6.025,6.05,5.975
2023-04-06,5.925,6.0,6.0,5.925
2023-04-10,5.975,5.95,5.975,5.875
2023-04-11,6.075,5.95,6.1,5.925
2023-04-12,6.25,6.15,6.3,6.125
2023-04-13,6.25,6.225,6.275,6.175
2023-04-14,6.2,6.275,6.3,6.2
2023-04-17,6.225,6.2,6.275,6.2
2023-04-18,6.425,6.275,6.475,6.275
2023-04-26,6.7,6.625,6.7,6.5
2023-04-27,6.7,6.675,6.725,6.625
2023-04-28,6.75,6.7,6.75,6.675
2023-05-02,6.675,6.775,6.775,6.6
2023-05-03,6.625,6.7,6.725,6.55
2023-05-04,6.6,6.6,6.625,6.55
2023-05-05,6.15,6.15,6.15,6.15
2023-05-08,6.125,6.15,6.175,6.05
2023-05-09,6.325,6.125,6.325,6.075
2023-05-10,6.325,6.35,6.425,6.3
2023-05-11,6.25,6.35,6.35,6.175
2023-05-12,6.225,6.225,6.275,6.175
2023-05-15,6.35,6.275,6.35,6.175
2023-05-16,6.275,6.35,6.4,6.25
2023-05-17,6.325,6.35,6.35,6.275
2023-05-19,6.475,6.4,6.55,6.35
2023-05-22,6.6,6.525,6.65,6.425
2023-05-23,6.6,6.6,6.65,6.55
2023-05-24,6.675,6.575,6.675,6.5
2023-05-25,6.6,6.7,6.7,6.525
2023-05-26,6.6,6.6,6.6,6.525
2023-05-29,6.6,6.625,6.625,6.475
2023-05-30,6.5,6.575,6.6,6.5
2023-05-31,6.45,6.5,6.6,6.45
2023-06-05,6.825,6.525,7.0,6.5
2023-06-06,6.8,6.8,6.925,6.75
2023-06-07,6.8,6.8,6.85,6.675
2023-06-08,6.775,6.725,6.775,6.7
2023-06-09,6.8,6.75,6.8,6.7
2023-06-12,6.775,6.8,6.8,6.675
2023-06-13,6.75,6.775,6.825,6.75
2023-06-14,6.9,6.75,6.9,6.75
2023-06-15,6.875,6.9,6.9,6.825
2023-06-16,6.85,6.85,6.875,6.775
2023-06-19,6.875,6.8,6.875,6.775
2023-06-20,6.8,6.825,6.85,6.775
2023-06-21,6.925,6.775,6.975,6.75
2023-06-22,6.775,6.875,6.9,6.775
2023-06-23,6.775,6.775,6.825,6.7
2023-06-26,6.8,6.8,6.9,6.775
2023-06-27,6.775,6.8,6.85,6.775
2023-07-03,6.825,6.775,6.825,6.75
2023-07-04,6.775,6.825,6.825,6.7
2023-07-05,6.775,6.775,6.775,6.7
2023-07-06,6.8,6.775,6.8,6.75
2023-07-07,6.825,6.775,6.825,6.75
2023-07-10,6.775,6.825,6.825,6.775
2023-07-11,6.8,6.775,6.8,6.75
2023-07-12,6.775,6.775,6.825,6.75
2023-07-13,6.8,6.775,6.825,6.75
2023-07-14,6.75,6.775,6.825,6.7
2023-07-17,6.675,6.75,6.775,6.675
2023-07-18,6.575,6.675,6.7,6.475
2023-07-20,6.525,6.575,6.575,6.45
2023-07-21,6.45,6.5,6.525,6.375
2023-07-24,6.55,6.4,6.6,6.4
2023-07-25,6.5,6.6,6.625,6.5
2023-07-26,6.6,6.575,6.625,6.5
2023-07-27,6.525,6.6,6.6,6.5
2023-07-28,6.625,6.5,6.625,6.475
2023-07-31,6.85,6.75,6.95,6.725
2023-08-01,6.875,6.875,6.9,6.8
2023-08-02,6.85,6.825,6.85,6.775
2023-08-03,6.825,6.8,6.9,6.775
2023-08-04,6.8,6.825,6.85,6.75
2023-08-07,6.875,6.825,6.9,6.75
2023-08-08,6.85,6.85,6.9,6.825
2023-08-09,6.875,6.85,6.875,6.825
2023-08-10,6.75,6.85,6.875,6.75
2023-08-11,6.75,6.75,6.775,6.65
2023-08-14,6.8,6.7,6.8,6.7
2023-08-15,6.725,6.725,6.775,6.675
2023-08-16,6.75,6.675,6.75,6.65
2023-08-18,6.525,6.675,6.7,6.5
2023-08-21,6.475,6.525,6.55,6.425
2023-08-22,6.55,6.45,6.6,6.45
2023-08-23,6.55,6.55,6.6,6.525
2023-08-24,6.475,6.55,6.6,6.475
2023-08-25,6.45,6.475,6.5,6.4
2023-08-28,6.425,6.5,6.5,6.4
2023-08-29,6.4,6.45,6.45,6.375
2023-08-30,6.45,6.45,6.525,6.4
2023-08-31,6.45,6.45,6.475,6.4
