ds,y,kolom
2024-07-01,4.41831764353752,Terakhir
2024-07-02,4.447429549676936,Terakhir
2024-07-03,4.468472376536427,Terakhir
2024-07-04,4.460559916640945,Terakhir
2024-07-05,4.4559300296524365,Terakhir
2024-07-08,4.449350809365605,Terakhir
2024-07-09,4.436658042953415,Terakhir
2024-07-10,4.40510634067879,Terakhir
2024-07-11,4.429984122655747,Terakhir
2024-07-12,4.462357438317786,Terakhir
2024-07-15,4.460755739519567,Terakhir
2024-07-16,4.459040016826993,Terakhir
2024-07-17,4.457239819952408,Terakhir
2024-07-18,4.440277169238902,Terakhir
2024-07-19,4.4280955800917345,Terakhir
2024-07-22,4.437963499772934,Terakhir
2024-07-23,4.453779225879931,Terakhir
2024-07-24,4.451548441345951,Terakhir
2024-07-25,4.450648874310265,Terakhir
2024-07-26,4.447704409316182,Terakhir
2024-07-29,4.4413189804624835,Terakhir
2024-07-30,4.437121697944455,Terakhir
2024-07-31,4.444331215763616,Terakhir
2024-08-01,4.451079717973796,Terakhir
2024-08-02,4.449716116062689,Terakhir
2024-08-05,4.448376508228223,Terakhir
2024-08-06,4.4468029509983005,Terakhir
2024-08-07,4.4435757436738825,Terakhir
2024-08-08,4.424419573385541,Terakhir
2024-08-09,4.435418170310682,Terakhir
2024-07-31,4.537934261385142,Terakhir
2024-08-01,4.522661735237574,Terakhir
2024-08-02,4.496495879533243,Terakhir
2024-08-05,4.4934936726339005,Terakhir
2024-08-06,4.535382391143903,Terakhir
2024-08-07,4.549979375065738,Terakhir
2024-08-08,4.5485058753923076,Terakhir
2024-08-09,4.534329851042923,Terakhir
2024-08-12,4.526089402004416,Terakhir
2024-08-13,4.510093567619809,Terakhir
2024-08-14,4.511424241487002,Terakhir
2024-08-15,4.543493911017722,Terakhir
2024-08-16,4.556066310397586,Terakhir
2024-08-19,4.545984882618757,Terakhir
2024-08-20,4.542585303099338,Terakhir
2024-08-21,4.531173696110499,Terakhir
2024-08-22,4.506322902471835,Terakhir
