date,actual  value,Forecast_TimeGPT,Forecast_SARIMAX,Forecast_ARIMA
2024-07-01,4.62,4.42,4.57,4.81
2024-07-02,4.53,4.54,4.53,4.80
2024-07-03,4.57,4.51,4.55,4.79
2024-07-04,4.55,4.53,4.58,4.79
2024-07-05,4.58,4.52,4.57,4.80
2024-07-08,4.64,4.54,4.59,4.81
2024-07-09,4.56,4.57,4.55,4.81
2024-07-10,4.54,4.52,4.53,4.79
2024-07-11,4.51,4.54,4.55,4.79
2024-07-12,4.54,4.57,4.55,4.80
2024-07-15,4.47,4.56,4.48,4.81
2024-07-16,4.38,4.52,4.40,4.81
2024-07-17,4.46,4.47,4.43,4.79
2024-07-18,4.54,4.48,4.50,4.79
2024-07-19,4.53,4.51,4.50,4.79
2024-07-22,4.52,4.51,4.50,4.81
2024-07-23,4.45,4.50,4.47,4.81
2024-07-24,4.53,4.46,4.52,4.80
2024-07-25,4.49,4.47,4.46,4.79
2024-07-26,4.61,4.49,4.58,4.79
2024-07-29,4.61,4.56,4.59,4.80
2024-07-30,4.54,4.57,4.54,4.81
2024-07-31,4.72,4.54,4.67,4.80
2024-08-01,4.74,4.60,4.69,4.79
2024-08-02,4.69,4.63,4.69,4.79
2024-08-05,4.56,4.63,4.55,4.80
2024-08-06,4.61,4.59,4.57,4.81
2024-08-07,4.63,4.61,4.59,4.80
2024-08-08,4.74,4.62,4.69,4.79
2024-08-09,4.76,4.68,4.75,4.79
2024-08-12,4.76,4.71,4.75,4.80
2024-08-13,4.76,4.70,4.76,4.80
2024-08-14,4.89,4.66,4.89,4.80
2024-08-15,4.89,4.81,4.89,4.79
2024-08-16,4.97,4.89,4.98,4.79
2024-08-19,5.03,4.96,5.02,4.80
2024-08-20,5.13,5.02,5.11,4.80
2024-08-21,5.08,5.12,5.16,4.80
2024-08-22,5.00,5.09,5.03,4.79
2024-08-23,5.10,5.01,5.16,4.79
2024-08-26,5.15,5.12,5.20,4.80
2024-08-27,5.15,5.18,5.12,4.80
2024-08-28,5.03,5.19,5.04,4.80
2024-08-29,5.08,5.07,5.04,4.80
2024-08-30,5.10,5.07,5.09,4.79
2024-09-02,5.20,5.06,5.21,4.80
2024-09-03,5.13,5.19,5.16,4.80
2024-09-04,5.05,5.15,5.08,4.80
2024-09-05,5.08,5.07,5.10,4.80
2024-09-06,5.05,5.08,5.12,4.79
2024-09-09,5.03,5.06,5.07,4.80
2024-09-10,5.03,5.04,5.06,4.80
2024-09-11,5.03,5.04,5.04,4.80
2024-09-12,5.03,5.04,5.07,4.80
2024-09-13,5.08,5.03,5.07,4.79
2024-09-17,5.25,5.05,5.07,4.80
2024-09-18,5.28,5.07,5.23,4.80
2024-09-19,5.23,5.17,5.24,4.80
2024-09-20,5.23,5.20,5.23,4.80
2024-09-23,5.28,5.19,5.26,4.79
2024-09-24,5.23,5.20,5.24,4.80
2024-09-25,5.25,5.22,5.18,4.80
2024-09-26,5.10,5.20,5.22,4.80
2024-09-27,5.05,5.23,5.11,4.80
2024-09-30,5.18,5.14,5.02,4.79
2024-10-01,5.15,5.09,5.14,4.80
2024-10-02,5.25,5.16,5.07,4.80
2024-10-03,5.15,5.15,5.17,4.80
2024-10-04,5.10,5.19,5.14,4.80
2024-10-07,5.23,5.14,5.12,4.80
2024-10-08,5.08,5.11,5.17,4.80
2024-10-09,5.13,5.17,5.11,4.80
2024-10-10,5.08,5.13,5.10,4.80
2024-10-11,4.93,5.15,5.10,4.80
2024-10-14,4.93,5.12,4.95,4.80
2024-10-15,4.96,5.02,4.94,4.80
2024-10-16,4.95,4.97,4.92,4.80
2024-10-17,4.92,4.99,4.95,4.80
2024-10-18,5.10,4.97,4.93,4.80
2024-10-21,5.28,4.95,5.04,4.80
2024-10-22,5.30,5.06,5.22,4.80
2024-10-23,5.28,5.16,5.22,4.80
2024-10-24,5.23,5.22,5.22,4.80
2024-10-25,5.25,5.22,5.22,4.80
2024-10-28,5.13,5.20,5.15,4.80
2024-10-29,5.20,5.22,5.15,4.80
2024-10-30,5.10,5.19,5.13,4.80
2024-10-31,5.08,5.24,5.15,4.80
2024-11-01,5.13,5.17,5.11,4.80
2024-11-04,5.18,5.11,5.04,4.80
2024-11-05,5.05,5.13,5.16,4.80
2024-11-06,5.00,5.14,5.08,4.80
2024-11-07,4.96,5.08,5.06,4.80
2024-11-08,4.97,5.06,5.02,4.80
2024-11-11,4.97,5.02,4.92,4.80
2024-11-12,5.03,4.99,4.97,4.80
2024-11-13,4.95,4.99,5.00,4.80
2024-11-14,4.94,5.04,4.97,4.80
2024-11-15,4.93,4.99,4.97,4.80
2024-11-18,4.97,4.96,4.96,4.80
2024-11-19,5.00,4.95,4.96,4.80
2024-11-20,4.89,4.97,5.02,4.80
2024-11-21,4.91,4.99,4.94,4.80
2024-11-22,5.18,4.93,4.94,4.80
2024-11-25,5.15,4.93,5.14,4.80
2024-11-26,5.13,5.05,5.18,4.80
2024-11-27,5.10,5.07,5.19,4.80
2024-11-28,4.94,5.10,5.07,4.80
2024-11-29,5.13,5.11,5.00,4.80
2024-12-02,5.23,5.10,5.10,4.80
2024-12-03,5.20,5.02,5.21,4.80
2024-12-04,5.15,5.15,5.18,4.80
2024-12-05,5.23,5.17,5.12,4.80
2024-12-06,5.23,5.19,5.19,4.80
2024-12-09,5.25,5.15,5.21,4.80
2024-12-10,5.10,5.14,5.25,4.80
2024-12-11,5.13,5.10,5.16,4.80
2024-12-12,5.13,5.23,5.13,4.80
2024-12-13,4.98,5.19,5.10,4.80
2024-12-16,5.00,5.16,5.04,4.80
2024-12-17,4.88,5.14,5.01,4.80
2024-12-18,4.87,5.06,5.03,4.80
2024-12-19,4.95,5.03,4.89,4.80
2024-12-20,4.88,4.94,4.90,4.80
2024-12-23,4.93,4.91,4.93,4.80
2024-12-24,4.90,4.99,4.94,4.80
2024-12-27,4.86,4.91,4.94,4.80
2024-12-30,4.92,4.92,4.91,4.80
2024-12-31,4.81,4.90,4.96,4.80
2025-01-02,4.90,4.94,4.96,4.80
2025-01-03,4.75,4.95,4.94,4.80
2025-01-06,4.75,4.95,4.92,4.80
2025-01-07,4.94,4.89,4.86,4.80
2025-01-08,4.88,4.91,4.94,4.80
2025-01-09,4.94,4.84,4.91,4.80
2025-01-10,4.91,4.91,4.79,4.80
2025-01-13,4.91,4.90,4.84,4.80
2025-01-14,4.96,4.81,4.92,4.80
2025-01-15,4.90,4.78,4.93,4.80
2025-01-16,4.87,4.90,4.94,4.80
2025-01-17,4.78,4.86,4.94,4.80
2025-01-20,4.80,4.91,4.96,4.80
2025-01-21,5.95,4.91,4.96,4.80
2025-01-22,5.90,4.89,4.95,4.80
2025-01-23,5.88,4.91,4.94,4.80
2025-01-24,5.88,4.91,4.82,4.80
2025-01-30,5.88,4.87,4.84,4.80
