Tanggal,actual  value,Forecast,MAE,MAPE,MAPE%,RMSE,,,,,,
2024-07-01,4.62,4.57,0.05,0.01,459.6,0.00222,,,,,,
2024-07-02,4.53,4.53,0.00,0.00,452.8,0.00001,,,,,,
2024-07-03,4.57,4.55,0.02,0.01,455.8,0.00057,,,,,,
2024-07-04,4.55,4.58,0.03,0.01,456.4,0.00077,,,,,,
2024-07-05,4.58,4.57,0.01,0.00,457.5,0.00011,,,,,,
2024-07-08,4.64,4.59,0.05,0.01,461.5,0.00244,,,,,,
2024-07-09,4.56,4.55,0.01,0.00,455.3,0.00019,,,,,,
2024-07-10,4.54,4.53,0.01,0.00,453.4,0.00013,,,,,,
2024-07-11,4.51,4.55,0.04,0.01,452.8,0.00131,,,,,,
2024-07-12,4.54,4.55,0.01,0.00,454.3,0.00003,,,,,,
2024-07-15,4.47,4.48,0.01,0.00,447.5,0.00010,,,,,,
2024-07-16,4.38,4.40,0.02,0.00,439.1,0.00046,,,,,,
2024-07-17,4.46,4.43,0.03,0.01,444.4,0.00100,,,,,,
2024-07-18,4.54,4.50,0.04,0.01,452.1,0.00138,,,,,,
2024-07-19,4.53,4.50,0.03,0.01,451.6,0.00082,,,,,,
2024-07-22,4.52,4.50,0.02,0.00,450.9,0.00049,,,,,,
2024-07-23,4.45,4.47,0.02,0.01,446.1,0.00050,,,,,,
2024-07-24,4.53,4.52,0.01,0.00,452.4,0.00013,,,,,,
2024-07-25,4.49,4.46,0.03,0.01,447.3,0.00116,,,,,,
2024-07-26,4.61,4.58,0.03,0.01,459.4,0.00107,,,,,,
2024-07-29,4.61,4.59,0.02,0.00,460.2,0.00026,,,,,,
2024-07-30,4.54,4.54,0.00,0.00,454.0,0.00000,,,,,,
2024-07-31,4.72,4.67,0.05,0.01,469.6,0.00234,,,,,,
2024-08-01,4.74,4.69,0.05,0.01,471.5,0.00260,,,,,,
2024-08-02,4.69,4.69,0.00,0.00,468.9,0.00000,,,,,,4.88
2024-08-05,4.56,4.55,0.01,0.00,455.3,0.00022,,,,,,
2024-08-06,4.61,4.57,0.04,0.01,458.8,0.00193,,,,,,
2024-08-07,4.63,4.59,0.04,0.01,461.0,0.00159,,,,,,
2024-08-08,4.74,4.69,0.05,0.01,471.7,0.00213,,,,,,
2024-08-09,4.76,4.75,0.01,0.00,475.5,0.00012,,,,,,
2024-08-12,4.76,4.75,0.01,0.00,475.6,0.00006,,,,,,
2024-08-13,4.76,4.76,0.00,0.00,476.1,0.00001,,,,,,
2024-08-14,4.89,4.89,0.00,0.00,489.1,0.00000,,,,,,
2024-08-15,4.89,4.89,0.00,0.00,489.1,0.00000,,,,,,
2024-08-16,4.97,4.98,0.01,0.00,497.5,0.00011,,,,,,
2024-08-19,5.03,5.02,0.01,0.00,502.2,0.00005,,,,,,
2024-08-20,5.13,5.11,0.01,0.00,511.9,0.00012,,,,,,
2024-08-21,5.08,5.16,0.08,0.02,511.7,0.00714,,,,,,
2024-08-22,5.00,5.03,0.03,0.01,501.7,0.00121,,,,,,
2024-08-23,5.10,5.16,0.06,0.01,513.2,0.00398,,,,,,
2024-08-26,5.15,5.20,0.05,0.01,517.3,0.00208,,,,,,
2024-08-27,5.15,5.12,0.03,0.01,513.6,0.00075,,,,,,
2024-08-28,5.03,5.04,0.02,0.00,503.4,0.00035,,,,,,
2024-08-29,5.08,5.04,0.03,0.01,505.8,0.00119,,,,,,
2024-08-30,5.10,5.09,0.01,0.00,509.6,0.00005,,,,,,
2024-09-02,5.20,5.21,0.01,0.00,520.7,0.00018,,,,,,
2024-09-03,5.13,5.16,0.04,0.01,514.4,0.00147,,,,,,
2024-09-04,5.05,5.08,0.03,0.01,506.5,0.00088,,,,,,
2024-09-05,5.08,5.10,0.03,0.01,508.8,0.00071,,,,,,
2024-09-06,5.05,5.12,0.07,0.01,508.3,0.00445,,,,,,
2024-09-09,5.03,5.07,0.04,0.01,504.6,0.00183,,,,,,
2024-09-10,5.03,5.06,0.03,0.01,504.0,0.00095,,,,,,
2024-09-11,5.03,5.04,0.01,0.00,503.2,0.00020,,,,,,
2024-09-12,5.03,5.07,0.05,0.01,504.9,0.00238,,,,,,
