date,actual  value,forecasted,MAE,MAPE,MAPE%,RMSE
2024-07-01,4.62,4.42,0.20,0.04,451.9,0.0407
2024-07-02,4.53,4.54,0.01,0.00,453.5,0.0001
2024-07-03,4.57,4.51,0.06,0.01,454.2,0.0031
2024-07-04,4.55,4.53,0.02,0.00,454.0,0.0004
2024-07-05,4.58,4.52,0.06,0.01,455.2,0.0032
2024-07-08,4.64,4.54,0.10,0.02,459.1,0.0098
2024-07-09,4.56,4.57,0.01,0.00,456.7,0.0002
2024-07-10,4.54,4.52,0.02,0.00,452.9,0.0005
2024-07-11,4.51,4.54,0.03,0.01,452.3,0.0007
2024-07-12,4.54,4.57,0.03,0.01,455.4,0.0008
2024-07-15,4.47,4.56,0.09,0.02,451.6,0.0083
2024-07-16,4.38,4.52,0.14,0.03,445.1,0.0203
2024-07-17,4.46,4.47,0.01,0.00,446.7,0.0002
2024-07-18,4.54,4.48,0.06,0.01,451.0,0.0036
2024-07-19,4.53,4.51,0.02,0.00,451.9,0.0005
2024-07-22,4.52,4.51,0.01,0.00,451.4,0.0001
2024-07-23,4.45,4.50,0.05,0.01,447.6,0.0027
2024-07-24,4.53,4.46,0.07,0.02,449.3,0.0055
2024-07-25,4.49,4.47,0.02,0.00,448.2,0.0003
2024-07-26,4.61,4.49,0.12,0.03,455.0,0.0146
2024-07-29,4.61,4.56,0.05,0.01,458.5,0.0026
2024-07-30,4.54,4.57,0.03,0.01,455.6,0.0011
2024-07-31,4.72,4.54,0.18,0.04,462.9,0.0332
2024-08-01,4.74,4.60,0.14,0.03,466.9,0.0199
2024-08-02,4.69,4.63,0.06,0.01,465.9,0.0040
2024-08-05,4.56,4.63,0.07,0.01,459.4,0.0045
2024-08-06,4.61,4.59,0.02,0.01,459.8,0.0005
2024-08-07,4.63,4.61,0.02,0.00,462.0,0.0004
2024-08-08,4.74,4.62,0.12,0.03,468.0,0.0142
2024-08-09,4.76,4.68,0.08,0.02,472.1,0.0061
2024-08-12,4.76,4.71,0.05,0.01,473.5,0.0025
2024-08-13,4.76,4.70,0.06,0.01,472.8,0.0040
2024-08-14,4.89,4.66,0.23,0.05,477.5,0.0525
2024-08-15,4.89,4.81,0.08,0.02,485.2,0.0058
